a,b
0.2414938,0.0328371
0.1679026,0.0204891
0.1154796,0.0035192
0.0447800,0.0182455
0.2326265,0.0140409
0.1846777,0.0476088
0.1062917,0.0189691
0.1742738,0.0221615
0.1176764,0.0093223
0.2484822,0.0051262
0.1845152,0.0179065
0.0896295,0.0171164
0.0177334,0.0134942
0.2542762,0.0190228
0.0236827,0.0037462
0.2514062,0.0287902
0.1048974,0.0442934
0.0074460,0.0149125
0.2485315,0.0236761
0.1808980,0.0152126
0.1211551,0.0314273
0.0119368,0.0245032
0.2597180,0.0435605
0.1610082,0.0329081
0.0145057,0.0021608
0.1310412,0.0364877
0.2444514,0.0150069
0.0863735,0.0248442
0.0228814,0.0458532
0.2404820,0.0070146
0.1849157,0.0388363
0.1076924,0.0355988
0.0195849,0.0424085
0.2820721,0.0373717
0.1943942,0.0472192
0.0965738,0.0389589
0.0143608,0.0049089
0.1731362,0.0201116
0.0601850,0.0049566
0.2433556,0.0158692
0.1996603,0.0175281
0.1209979,0.0481751
0.1706803,0.0392977
0.0973595,0.0490859
0.0620566,0.0472623
0.2720157,0.0218478
0.1814244,0.0039438
0.1179145,0.0383820
0.1747880,0.0288909
0.1390041,0.0267673
0.0417306,0.0046026
0.2451035,0.0458435
0.1887239,0.0123931
0.0267706,0.0468359
0.2857326,0.0315137
0.0997191,0.0188234
0.0246546,0.0159277
0.2856157,0.0272266
0.2186491,0.0010434
0.0671059,0.0382109
0.1261812,0.0230053
0.0487960,0.0191044
0.2946926,0.0121578
0.2112833,0.0011864
0.1050345,0.0399180
0.0266867,0.0045039
0.1931095,0.0317714
0.1467884,0.0360669
0.2846896,0.0455772
0.2225061,0.0160390
0.1083140,0.0325593
0.0692917,0.0170432
0.2945300,0.0470414
0.1929989,0.0158034
0.0430163,0.0031502
0.2755035,0.0372138
0.2170322,0.0350852
0.1319524,0.0173513
0.2670401,0.0270225
0.2086963,0.0211960
0.1042526,0.0031103
0.0569113,0.0264183
0.2785189,0.0378016
0.1868642,0.0235360
0.1029931,0.0327216
0.0529575,0.0438481
0.1857016,0.0278955
0.1062524,0.0089122
0.2911072,0.0120686
0.1330637,0.0105516
0.0469288,0.0436903
0.2899649,0.0018230
0.2051907,0.0003622
0.1465945,0.0359490
0.0738701,0.0106779
0.2905117,0.0240131
0.1984413,0.0154444
0.1187876,0.0204977
0.0670355,0.0428981
0.3062214,0.0216452
0.1847754,0.0371046
0.1303062,0.0029258
0.3059000,0.0299005
0.1941334,0.0117344
0.1324513,0.0082717
0.0336963,0.0473794
0.2673712,0.0244412
0.2162788,0.0227569
0.1437666,0.0483338
0.0756806,0.0193352
0.2067504,0.0028208
0.3040524,0.0053717
0.2336229,0.0450922
0.1583764,0.0476743
